,source,target,weight
0,Australia,Australia,1
1,Australia,China,47
2,Australia,France,1
3,Australia,Hong Kong,1
4,Australia,United Kingdom,1
5,Australia,United States,10
6,Australia,Colombia,1
7,Australia,India,4
8,Australia,Mexico,1
9,Australia,South Korea,1
10,China,Brazil,2
11,China,China,582
12,China,Colombia,2
13,China,France,3
14,China,Germany,1
15,China,Hong Kong,8
16,China,India,58
17,China,Indonesia,5
18,China,Israel,2
19,China,Japan,10
20,China,Singapore,1
21,China,South Korea,17
22,China,Sweden,2
23,China,Switzerland,1
24,China,United Kingdom,10
25,China,United States,164
26,China,Mexico,2
27,China,Portugal,2
28,France,Hong Kong,1
29,France,India,3
30,France,Israel,2
31,France,United Kingdom,3
32,France,United States,31
33,France,Germany,2
34,France,Indonesia,1
35,France,Lithuania,1
36,France,Netherlands,1
37,France,Portugal,1
38,France,South Korea,2
39,France,Sweden,1
40,France,Switzerland,1
41,Hong Kong,Hong Kong,1
42,Hong Kong,United States,7
43,Hong Kong,India,1
44,Hong Kong,Israel,1
45,Hong Kong,South Korea,1
46,Hong Kong,Sweden,1
47,Hong Kong,Switzerland,1
48,United Kingdom,Brazil,1
49,United Kingdom,Colombia,1
50,United Kingdom,Germany,2
51,United Kingdom,India,5
52,United Kingdom,Israel,2
53,United Kingdom,Mexico,4
54,United Kingdom,Portugal,1
55,United Kingdom,Sweden,1
56,United Kingdom,Lithuania,2
57,United Kingdom,Netherlands,1
58,United Kingdom,Switzerland,1
59,United Kingdom,United Kingdom,6
60,United Kingdom,United States,69
61,United States,Brazil,36
62,United States,Colombia,8
63,United States,Germany,47
64,United States,India,92
65,United States,Israel,15
66,United States,Japan,10
67,United States,Lithuania,11
68,United States,Mexico,1
69,United States,Netherlands,12
70,United States,Portugal,4
71,United States,Singapore,6
72,United States,South Korea,23
73,United States,Sweden,17
74,United States,Switzerland,5
75,United States,Canada,1
76,United States,Indonesia,3
77,United States,United States,1364
78,United States,Uruguay,1
79,Brazil,Brazil,1
80,Brazil,Germany,3
81,Brazil,India,4
82,Brazil,Sweden,1
83,Brazil,Colombia,2
84,Brazil,Japan,1
85,Brazil,Mexico,1
86,Brazil,South Korea,4
87,Germany,Germany,1
88,Germany,India,4
89,Germany,Lithuania,1
90,Germany,Netherlands,1
91,Germany,Spain,1
92,Germany,Japan,1
93,Germany,Mexico,1
94,Germany,Sweden,2
95,India,Colombia,1
96,India,India,27
97,India,Indonesia,5
98,India,Israel,2
99,India,Mexico,7
100,India,South Korea,7
101,India,Sweden,2
102,India,Japan,2
103,India,Netherlands,1
104,India,Switzerland,1
105,Sweden,Colombia,1
106,Sweden,Israel,1
107,Sweden,South Korea,1
108,Sweden,Japan,1
109,Sweden,Switzerland,1
110,Colombia,Japan,1
111,Colombia,South Korea,1
112,Colombia,Mexico,1
113,Indonesia,Indonesia,1
114,Indonesia,Philippines,1
115,Israel,Israel,2
116,Israel,Lithuania,1
117,Israel,South Korea,1
118,Israel,Switzerland,2
119,Japan,Netherlands,1
120,Japan,South Korea,1
121,South Korea,South Korea,2
122,South Korea,Switzerland,1
123,Switzerland,Lithuania,1
124,Lithuania,Netherlands,1
125,Spain,Spain,1
