,Artificial Intelligence,Artificial intelligence,E-commerce & direct-to-consumer,Edtech,Fintech,Hardware,Internet software & services,"Supply chain, logistics, & delivery",Auto & transportation,Consumer & retail,Cybersecurity,Data management & analytics,Finttech,Health,Mobile & telecommunications,Other,Travel
Artificial Intelligence,0.0,15.0,25.0,10.0,29.0,10.0,28.0,10.0,4.0,7.0,3.0,10.0,0.0,7.0,11.0,7.0,2.0
Artificial intelligence,15.0,72.0,126.0,50.0,138.0,30.0,167.0,42.0,18.0,35.0,33.0,61.0,1.0,59.0,41.0,41.0,20.0
E-commerce & direct-to-consumer,25.0,126.0,225.0,52.0,274.0,40.0,264.0,87.0,25.0,35.0,53.0,67.0,2.0,59.0,64.0,62.0,34.0
Edtech,10.0,50.0,52.0,23.0,64.0,12.0,71.0,16.0,13.0,24.0,8.0,10.0,0.0,15.0,21.0,11.0,6.0
Fintech,29.0,138.0,274.0,64.0,588.0,77.0,583.0,142.0,18.0,26.0,120.0,107.0,10.0,168.0,124.0,118.0,43.0
Hardware,10.0,30.0,40.0,12.0,77.0,13.0,35.0,12.0,10.0,9.0,19.0,25.0,0.0,9.0,15.0,13.0,2.0
Internet software & services,28.0,167.0,264.0,71.0,583.0,35.0,792.0,163.0,17.0,32.0,190.0,173.0,3.0,185.0,149.0,126.0,49.0
"Supply chain, logistics, & delivery",10.0,42.0,87.0,16.0,142.0,12.0,163.0,21.0,7.0,10.0,37.0,36.0,2.0,38.0,16.0,20.0,9.0
Auto & transportation,4.0,18.0,25.0,13.0,18.0,10.0,17.0,7.0,8.0,6.0,3.0,8.0,0.0,4.0,13.0,8.0,8.0
Consumer & retail,7.0,35.0,35.0,24.0,26.0,9.0,32.0,10.0,6.0,11.0,7.0,9.0,1.0,8.0,9.0,10.0,5.0
Cybersecurity,3.0,33.0,53.0,8.0,120.0,19.0,190.0,37.0,3.0,7.0,65.0,64.0,0.0,50.0,29.0,25.0,13.0
Data management & analytics,10.0,61.0,67.0,10.0,107.0,25.0,173.0,36.0,8.0,9.0,64.0,70.0,0.0,50.0,22.0,37.0,21.0
Finttech,0.0,1.0,2.0,0.0,10.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Health,7.0,59.0,59.0,15.0,168.0,9.0,185.0,38.0,4.0,8.0,50.0,50.0,1.0,78.0,31.0,25.0,9.0
Mobile & telecommunications,11.0,41.0,64.0,21.0,124.0,15.0,149.0,16.0,13.0,9.0,29.0,22.0,0.0,31.0,13.0,9.0,5.0
Other,7.0,41.0,62.0,11.0,118.0,13.0,126.0,20.0,8.0,10.0,25.0,37.0,0.0,25.0,9.0,24.0,11.0
Travel,2.0,20.0,34.0,6.0,43.0,2.0,49.0,9.0,8.0,5.0,13.0,21.0,0.0,9.0,5.0,11.0,1.0
